[2026-03-08 22:48:33] [INFO    ] discord.client: logging in using static token
[2026-03-08 22:48:33] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-03-08 22:48:33] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-03-08 22:48:33] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1476710981190287410', 'username': 'MNRF Utilities', 'avatar': '8eaed65fcd9341b5c5ea5d9e7163753f', 'discriminator': '5983', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '33ffd3c043fbed2d9c0631ad96686ff4', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-03-08 22:48:33] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-03-08 22:48:33] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-03-08 22:48:33] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1476710981190287410', 'name': 'MNRF Utilities', 'icon': '7fc6811fabaa87527a10834f8b1e486a', 'description': "The Ontario Ministry of Natural Resources & Forestry's discord bot for Niagara Regional Roleplay.", 'type': None, 'bot': {'id': '1476710981190287410', 'username': 'MNRF Utilities', 'avatar': '8eaed65fcd9341b5c5ea5d9e7163753f', 'discriminator': '5983', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '33ffd3c043fbed2d9c0631ad96686ff4', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '1c2f7de786b3eef202f934940db697db1db476d1d43d4a9137961805311a9135', 'flags': 11051008, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1313413062723768322', 'username': 'mleeum', 'avatar': '256d723f8932197a6caca3ee29c6d7eb', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 6590162, 'global_name': 'Liam', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#648ed2', 'clan': {'identity_guild_id': '251678593267007488', 'identity_enabled': True, 'tag': 'DAFT', 'badge': '8492b5d4b3a509f75b94e794d3eda10c'}, 'primary_guild': {'identity_guild_id': '251678593267007488', 'identity_enabled': True, 'tag': 'DAFT', 'badge': '8492b5d4b3a509f75b94e794d3eda10c'}}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2532, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-03-08 22:48:33] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1476710981190287410/guilds/1343440503407902792/commands with [{"name":"ping","description":"Check the bot's latency","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"urgentpage","description":"For urgently paging a conservation officer. Abuse will lead to moderation.","type":1,"options":[{"type":3,"name":"reason","description":"\u2026","required":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"request_ridealong","description":"Request a ridealong with an FTO","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"test","description":"\u2026","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"ticket","description":"Ticket commands","type":1,"options":[{"name":"create","description":"Create a new ticket","type":1,"options":[]},{"name":"close","description":"Closes the current ticket.","type":1,"options":[]},{"name":"claim","description":"Claims the current ticket","type":1,"options":[]},{"name":"delete","description":"Delete's the current ticket, cannot be undone.","type":1,"options":[]},{"name":"add","description":"Add a user to the current ticket.","type":1,"options":[{"type":6,"name":"user","description":"\u2026","required":true}]},{"name":"remove","description":"Remove a user from the current ticket.","type":1,"options":[{"type":6,"name":"user","description":"\u2026","required":true}]}],"nsfw":false,"dm_permission":false,"default_member_permissions":null,"contexts":[0],"integration_types":null}] has returned 200
[2026-03-08 22:48:33] [DEBUG   ] discord.http: PUT /applications/{application_id}/guilds/{guild_id}/commands has found its initial rate limit bucket hash (3e32a240d3716487d7d8f6dae6c54f6b).
[2026-03-08 22:48:33] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1476710981190287410/guilds/1343440503407902792/commands has received [{'id': '1478545063402537013', 'application_id': '1476710981190287410', 'version': '1478545063402537017', 'default_member_permissions': None, 'type': 1, 'name': 'ping', 'name_localizations': None, 'description': "Check the bot's latency", 'description_localizations': None, 'guild_id': '1343440503407902792', 'nsfw': False}, {'id': '1478545063402537014', 'application_id': '1476710981190287410', 'version': '1478545063402537018', 'default_member_permissions': None, 'type': 1, 'name': 'urgentpage', 'name_localizations': None, 'description': 'For urgently paging a conservation officer. Abuse will lead to moderation.', 'description_localizations': None, 'guild_id': '1343440503407902792', 'options': [{'type': 3, 'name': 'reason', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True}], 'nsfw': False}, {'id': '1478545063402537015', 'application_id': '1476710981190287410', 'version': '1478545063402537019', 'default_member_permissions': None, 'type': 1, 'name': 'request_ridealong', 'name_localizations': None, 'description': 'Request a ridealong with an FTO', 'description_localizations': None, 'guild_id': '1343440503407902792', 'nsfw': False}, {'id': '1478545063402537016', 'application_id': '1476710981190287410', 'version': '1478545063402537020', 'default_member_permissions': None, 'type': 1, 'name': 'test', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'guild_id': '1343440503407902792', 'nsfw': False}, {'id': '1480374056996966473', 'application_id': '1476710981190287410', 'version': '1480395757487001620', 'default_member_permissions': None, 'type': 1, 'name': 'ticket', 'name_localizations': None, 'description': 'Ticket commands', 'description_localizations': None, 'guild_id': '1343440503407902792', 'options': [{'type': 1, 'name': 'create', 'name_localizations': None, 'description': 'Create a new ticket', 'description_localizations': None}, {'type': 1, 'name': 'close', 'name_localizations': None, 'description': 'Closes the current ticket.', 'description_localizations': None}, {'type': 1, 'name': 'claim', 'name_localizations': None, 'description': 'Claims the current ticket', 'description_localizations': None}, {'type': 1, 'name': 'delete', 'name_localizations': None, 'description': "Delete's the current ticket, cannot be undone.", 'description_localizations': None}, {'type': 1, 'name': 'add', 'name_localizations': None, 'description': 'Add a user to the current ticket.', 'description_localizations': None, 'options': [{'type': 6, 'name': 'user', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True}]}, {'type': 1, 'name': 'remove', 'name_localizations': None, 'description': 'Remove a user from the current ticket.', 'description_localizations': None, 'options': [{'type': 6, 'name': 'user', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True}]}], 'nsfw': False}]
[2026-03-08 22:48:34] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
